OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
15249,Atlantic Ocean,Gulf of Mexico,,PVC cylinder,2115.655853,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,20.974583,-97.3069,4/12/2018 12:00:00 AM,28614d4b-c59f-4a38-80e8-7abb8f1e4300,-97.3069,20.9745830000001
15510,Pacific Ocean,Gulf of California,,PVC cylinder,2115.655853,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,26.729392,-111.906818,7/11/2018 12:00:00 AM,cb0a8761-823e-4def-a377-4d8e140eb789,-111.906818,26.7293920000001
15533,Pacific Ocean,,,PVC cylinder,0,pieces/m3,0-100,Very Low,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,31.828258,-116.609493,7/7/2018 12:00:00 AM,c70d6860-8c48-440a-ad1b-67ada3960725,-116.609493,31.8282580000001
15464,Pacific Ocean,Gulf of California,,PVC cylinder,4231.311707,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,28.859672,-112.030125,6/21/2018 12:00:00 AM,40217ba7-02a9-411c-a3a6-400f52c7cde3,-112.030125,28.859672
15487,Pacific Ocean,Gulf of California,,PVC cylinder,1410.437236,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,31.680124,-114.495158,6/25/2018 12:00:00 AM,009b53ad-4d90-4324-9499-48d7aa7f3bca,-114.495158,31.680124
21770,Atlantic Ocean,Caribbean Sea,,Hand picking,0.666667,pieces/m3,0-100,Very Low,Seemungal et al. 2022,"Seemungal, R., J. Darsan, M. Wilson. 2022. The influence of coastal geomorphology and human activity on plastic debris distribution on a micro-tidal recreational beach on the north coast of Trinidad. Journal of Coastal Conservation 26, 19. https://doi.org/10.1007/s11852-021-00846-z",https://doi.org/10.1007/s11852-021-00846-z,"University of the West Indies, St. Augustine Campus, Trinidad and Tobago",,280519,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:280519,10.760339,-61.441728,10/4/2015 12:00:00 AM,48c62398-a0b7-48e8-beb6-eeccaf010a64,-61.441728,10.760339
15009,Atlantic Ocean,,,Stainless steel spoon,57680,pieces/m3,>40000,Very High,González-Hernández et al. 2020,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,28.152519,-16.43179,7/9/2019 12:00:00 AM,e65ed15a-531e-40dd-b532-d7b144bb9492,-16.43179,28.152519
14986,Atlantic Ocean,,,Stainless steel spoon,10160,pieces/m3,500-30000,Medium,González-Hernández et al. 2020,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,28.152519,-16.43179,6/26/2019 12:00:00 AM,0bba391c-5ac8-4384-9eea-e394ba65b4fc,-16.43179,28.152519
14992,Atlantic Ocean,,,Stainless steel spoon,6480,pieces/m3,500-30000,Medium,González-Hernández et al. 2020,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,28.152519,-16.43179,7/1/2019 12:00:00 AM,63b9e020-fe7d-4adb-b667-ea8aded5b789,-16.43179,28.152519
15458,Pacific Ocean,Gulf of California,,PVC cylinder,705.218618,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,27.916643,-110.775325,6/19/2018 12:00:00 AM,f693232c-9e9d-4f70-a981-b6da02ec96f1,-110.775325,27.9166430000001
